id,name,category,price,description
35,"Ridge & Snow Merino 200 Crew","Apparel",84.00,"New Zealand wool, spun in Italy, sewn in Portugal; scratches exactly zero necks."
36,"Ridge & Snow Merino 200 Bottoms","Apparel",79.00,"Flatlock seams map away from pressure points; annual dye palette matches aurora greens."
37,"Clearwater Outfitters River Hoodie","Apparel",112.40,"Recycled polyester wicks paddle splash; integrated sun gaiter flips up in seconds."
38,"Clearwater Outfitters Sandbar Tee","Apparel",38.90,"Blend feels cotton‑soft but dries twice as fast as you can whistle."
39,"Clearwater Outfitters Delta Boardshorts","Apparel",74.70,"No‑inseam liner prevents paddling chafe; zip thigh pocket drains in two seconds."
40,"Granite Peak Tech Flannel","Apparel",91.20,"Looks cabin‑chic; hidden snaps and a lens cloth under one hem prove it’s trail‑born."
41,"Granite Peak Canvas Field Pants","Apparel",129.80,"Stretch duck cloth, articulated knees, and a phone pocket that swallows a plus‑size.”
42,"Granite Peak Leather Work Gloves","Apparel",42.90,"Chrome‑free cowhide breaks in by lunchtime; bar‑tack at cuff loop rated to 50 kg pull."
43,"Horizon Trail Ultralight Gaiters","Apparel",46.10,"30 g a pair keeps scree outside shoes; replaceable under‑strap costs less than coffee."
44,"Horizon Trail Breeze Cap","Apparel",28.70,"Dark‑under brim kills glare, foam bill floats if the kayak flips."
45,"Horizon Trail Skyline Socks (mid)","Apparel",23.40,"Merino/kapok blend resists bacteria so well testers wore them five days—reportedly."
46,"Alpine Canvas Co. Waxed Riding Jacket","Apparel",289.00,"British‑milled fabric, brass hardware; ages into heirloom after a single storm ride."
47,"Alpine Canvas Co. Heritage Cap","Apparel",54.00,"Leather strap and vent eyelets: perfect for swapping steering wheel for tiller."
48,"Alpine Canvas Co. Canvas Apron","Apparel",61.50,"Double front pockets hold hatchet and ladle—truly the campsite multitasker."
49,"Pioneer Works Aero Mesh Vest","Apparel",92.10,"Race‑cut, six stash pockets, bounce‑free fit up to 1.5 L water."
50,"Pioneer Works Heat‑Map Arm Sleeves","Apparel",44.60,"Reactive print shows over‑heating zones so you back off before cramps start."
51,"NordReach Fjella Pro Boot","Footwear",419.00,"Full‑shank carbon mid‑sole and Vibram MONT outsole; EU sizes 37–48."
52,"NordReach Fjella Liner Sock","Footwear",24.50,"Coolmax yarn slides inside Pro without friction—ideal for 15‑hour summit pushes."
53,"NordReach Fjella Low Gaiter","Footwear",48.00,"Breathable eVent cuff stops pumice dust; hooks clip speed laces."
54,"SummitForge RiftRunner Trail Shoe","Footwear",164.90,"6 mm drop, ESS rock‑plate, and toe rand ready for Class IV scrambles."
55,"SummitForge RiftRunner Mid","Footwear",179.90,"Same chassis, higher collar, waterproof membrane: a wet‑season staple."
56,"SummitForge RiftGrip Insole","Footwear",36.80,"Ortholite foam plus firmer arch insert; sold in three volume options."
57,"OrbitGear AquaStride Sandal","Footwear",98.60,"Webbing dries in nine minutes; siped sole sticks SUP deck like gecko feet."
58,"OrbitGear DriftClog Camp Shoe","Footwear",74.30,"Closed‑cell EVA, heel strap pivots up for goat‑track outhouse runs."
59,"OrbitGear GlideSox Low‑cut","Footwear",16.20,"Nano‑silver threads mute odor for the drive home."
60,"Ridge & Snow Merino Trek Sock (mid)","Footwear",27.80,"Dense under‑heel cushioning survived a 260‑km field test on peat bogs."
61,"Ridge & Snow Merino Trek Sock (OTK)","Footwear",33.70,"Over‑the‑knee height pairs with ski boots; 2‑year no‑hole pledge."
62,"Clearwater Outfitters River Runner Bootie","Footwear",112.40,"3 mm neoprene, reinforced instep patch for whitewater pedals."
63,"Clearwater Outfitters Delta Deck Shoe","Footwear",94.10,"Non‑marking rubber grips varnished cedar as well as slick pontoon."
64,"Clearwater Outfitters DriftSock","Footwear",22.90,"Stretch wader liner extends bootie warmth down to 7 °C water."
65,"Granite Peak Boulder Moc","Footwear",124.00,"Unlined leather wraps foot like glove; outsole nothing but 3.5 mm of sticky rubber."
66,"Granite Peak Summit Slipper","Footwear",89.90,"Synthetic fill and collapsible heel make van‑life mornings civilized."
67,"Granite Peak Grip‑Lite Gaiter","Footwear",36.40,"High‑abrasion panel guards ankles when talus and crampons mingle."
68,"Horizon Trail Pace Runner","Footwear",148.20,"Zero‑drop platform, knit upper; testers recorded sub‑7‑minute miles on desert tracks."
69,"Horizon Trail Pace Runner GTX","Footwear",169.40,"Waterproof, but the midsole still weighs less than a deck of cards."
70,"Horizon Trail Restore Laces","Footwear",7.10,"Paracord‑derived 3 mm lace, sold in 150 cm pairs."
71,"Alpine Canvas Co. Heritage Boot","Footwear",249.50,"Full‑grain leather welted in Spain, resole‑able for decades."
72,"Alpine Canvas Co. Leather Condition Wax","Footwear",13.90,"Beeswax and lanolin formula tested on the Heritage line."
73,"Alpine Canvas Co. Trail Clog","Footwear",79.80,"Wooden midsole dampened with EVA heel pad: camp chic with cabin pedigree."
74,"Pioneer Works Aero Spike 400","Footwear",189.60,"Carbide microspikes roll under EVA plate; slips over most runners."
75,"Pioneer Works Aero Spike Pouch","Footwear",19.80,"Sil‑nylon roll‑top bag quarantines mud from pack contents."
76,"NordReach Fjella Carbon Ski","Winter Sports",829.00,"140‑100‑122 profile meets a poplar core; floats powder yet enjoys hardpack mornings."
77,"NordReach Fjella Pole Pro","Winter Sports",149.90,"Carbon shafts with extended choke grip for steep skin tracks."
78,"NordReach Fjella Skin 65/35","Winter Sports",198.50,"Nylon‑mohair mix; glide coating rated to –25 °C."
79,"SummitForge RiftSplit 159","Winter Sports",689.00,"Splitboard with active maghooks; inside edges beveled 1° for skin‑track forgiveness."
80,"SummitForge RiftSplit Skins","Winter Sports",214.00,"Pre‑cut; plush fibres shed snow in spring mush."
81,"SummitForge Glide Crampon 100 mm","Winter Sports",78.80,"CNC‑milled aluminum slides under board binding for icy morning up‑tracks."
82,"OrbitGear Mirage Goggle","Winter Sports",134.40,"Magnetic lens swap; photochromic option auto‑tints down to 17 % VLT."
83,"OrbitGear Mirage Low‑Light Lens","Winter Sports",62.80,"Yellow base lifts contrast when storm days hide definition."
84,"OrbitGear Mirage Hardcase","Winter Sports",23.70,"Shell case fits two lenses plus cloth; attaches via carabiner."
85,"Ridge & Snow Glacier Mitt","Winter Sports",164.50,"Primaloft Gold + eVent insert; removable liner for drying at hut stove."
86,"Ridge & Snow Ice Shield Glove","Winter Sports",129.00,"Leather palm bonded to Kevlar back‑hand; dexterity good enough for zipper pulls."
87,"Ridge & Snow HotCore Boot Warmer","Winter Sports",44.70,"USB‑C heater pads slide into shell during après pint."
88,"Clearwater Outfitters Ice Jacket","Winter Sports",242.90,"Three‑layer membrane, RECCO reflector, and pocket big enough for rescue sled tow strap."
89,"Clearwater Outfitters Ice Bib","Winter Sports",218.60,"Drop‑seat zip because reality calls even in blizzards."
90,"Clearwater Outfitters Storm Balaclava","Winter Sports",38.40,"Windblock panel shields cheeks; laser holes align at nostrils for fog‑free exhale."
91,"Granite Peak Pit Zip Midlayer","Winter Sports",184.00,"Double‑knit fleece plus pit‑zips equals stay‑on‑all‑day versatility."
92,"Granite Peak Apex Helmet","Winter Sports",139.20,"EPS/EPP hybrid addresses both slow and fast falls; audio‑chip ready."
93,"Granite Peak Apex Hood Cover","Winter Sports",28.00,"Softshell cover slips over helmet for chairlift drizzle defence."
94,"Horizon Trail Frost Ski","Winter Sports",589.00,"Short‑radius carver—120 cm nose to tail—engineered for lit city hills."
95,"Horizon Trail Frost Pole","Winter Sports",64.90,"6061‑aluminum, 48 mm baskets, colours loud enough to find after yard‑sale."
96,"Horizon Trail Frost Junior Mitt","Winter Sports",32.40,"60 g insulation; clip pairs stick together so the car doesn’t eat one."
97,"Alpine Canvas Co. Patrol Snow Saw","Winter Sports",82.70,"Stainless blade laser‑engraved with 1 cm markings for pit science."
98,"Alpine Canvas Co. Patrol Probe 320","Winter Sports",112.00,"320 cm aluminum, Kevlar cord; no‑slop segment joints."
99,"Alpine Canvas Co. Patrol Shovel","Winter Sports",84.00,"T7 aluminum handle extends to 75 cm; flat back cuts rescue platforms fast."
100,"Pioneer Works Aero Beacon 3","Winter Sports",279.90,"3‑antenna, group‑check mode, and a flagging function guides pros through multiple burials."
101,"EverNorth Horizon 65 Backpack","Camping Gear",279.00,"Internal frame carries 18–23 kg comfortably; hip‑belt pockets sized for modern phones and a snack bar."
102,"EverNorth Glacier Alloy Stakes (set 8)","Camping Gear",22.40,"7075‑T6 V‑stakes drive into gritty alpine turf without bending on the first tap."
103,"EverNorth Trail Filter Pro","Camping Gear",58.90,"Hollow‑fiber system threads directly onto wide‑mouth bottles; flow rate 2 L/min confirmed at UL lab."
104,"EverNorth Hex Pot 1.3 L","Camping Gear",46.70,"Hard‑anodised body with silicone‑covered side handles for pour control while wearing liners."
105,"EverNorth Hex Pot Lid/Strainer","Camping Gear",12.80,"Spare lid matches the 1.3 L and 900 ml models; strainer holes sized for pasta not rice."
106,"Canyon Ridge Summit Quilt 0 °C","Camping Gear",239.50,"800‑fill hydrophobic down, differential cut, and a foot‑box zip that vents midnight overheating."
107,"Canyon Ridge Quilt Pad Straps","Camping Gear",15.50,"Two elastic bands clamp most 51 cm pads; colour‑coded so you sort head from foot in the dark."
108,"Canyon Ridge Cedar Pillow","Camping Gear",22.90,"70 g air pillow with brushed nylon face fabric; stuffs into its own pocket smaller than an orange."
109,"Canyon Ridge Cedar Pillowcase","Camping Gear",13.60,"Recycled fleece slipcover upgrades the pillow on hut nights when weight isn’t audited."
110,"PolarWorks IceBrick Cooler 28 L","Camping Gear",164.00,"Roto‑moulded shell keeps block ice three days at 25 °C ambient, drain plug gasket is replaceable."
111,"PolarWorks IceBrick Divider/Chopping Board","Camping Gear",18.40,"HDPE panel slots inside the 28 L model; doubles as fika board at trailhead."
112,"PolarWorks Cool Pak 2 (set)","Camping Gear",12.40,"Phase‑change gel re‑freezes in seven hours at –10 °C; whistle valve releases expansion pressure."
113,"OrbitGear Aurora 400 Battery","Camping Gear",19.90,"Li‑ion spare provides 8 h at 350 lm; fits Aurora lantern line 2019–present."
114,"OrbitGear Aurora Shade Kit","Camping Gear",9.25,"Silicone cones turn lantern into area or spot beam; colour pack includes red for astronomy nights."
115,"OrbitGear Solar Flex 3 Panel","Camping Gear",69.80,"Three 6 W segments charge a watch in 12 min of clear August sun."
116,"WildEdge Trail Knife SE","Camping Gear",79.40,"12C27 steel, 83 mm drop‑point, Scandi grind; sheath has ferro‑rod loop (rod sold separately)."
117,"WildEdge Fire Steel 100 mm","Camping Gear",17.60,"Euro‑sparking alloy yields 3 000 strikes; lanyard hole pre‑drilled, paracord included."
118,"WildEdge Lite Board","Camping Gear",16.20,"HDPE cutting board 24 × 16 cm; edges chamfered so crumbs sweep clean with glove."
119,"WildEdge Pocket Saw 130","Camping Gear",39.50,"Impulse‑hardened teeth chew deadfall up to wrist size; grips fold closed for safe pack storage."
120,"TerraNova StormLine Tarp 3×3","Camping Gear",96.70,"Sil‑poly 20 D fabric, 16 loops, seam sealing guaranteed for five years."
121,"TerraNova StormLine Tent Peg Bag","Camping Gear",11.40,"Cord‑top pouch holds 25 V‑stakes; 210 D nylon, double bar‑tacked."
122,"TerraNova StormLine Guy Kit","Camping Gear",17.20,"3 mm reflective line plus twelve linelocks; glow thread visible at 40 m under headlamp."
123,"TerraNova Trek Poles 7001","Camping Gear",84.90,"Aluminium pair adjusts 63–135 cm; carbide tips and two basket sets included."
124,"TerraNova Rubber Tip Covers","Camping Gear",6.70,"Slip‑on caps protect bus floors and granite both; sold as a pair."
125,"TerraNova Speed Basket 50 mm (pair)","Camping Gear",8.90,"Medium baskets for summer scree—thread pattern suits most TerraNova poles."
126,"EverNorth Merino 150 Tee (M)","Apparel",59.00,"17.5‑micron wool against skin, offset shoulder seams to calm pack strap friction."
127,"EverNorth Merino 150 Tee (W)","Apparel",59.00,"Women’s S–XL; identical fabric spec, cut tuned for curved seams under sternum strap."
128,"EverNorth Summit Wind Vest","Apparel",129.00,"Pertex Quantum shell stops 60 km/h gusts yet packs into its own chest pocket."
129,"EverNorth Summit Wind Pants","Apparel",149.00,"Same fabric as vest, ¾ side‑zips for crampon on/off mid‑slope."
130,"Canyon Ridge Stretch Flannel (M)","Apparel",84.40,"Poly/wool/spandex plaid passes brewery dress codes but breathes on trail switchbacks."
131,"Canyon Ridge Stretch Flannel (W)","Apparel",84.40,"Princess seams, drop tail; buttons are corozo not plastic."
132,"Canyon Ridge Canvas Work Cap","Apparel",38.20,"Waxed brim, stretch sweatband; eyelets actually vent not just embellish."
133,"PolarWorks Glacier Hoodie (M)","Apparel",119.70,"Grid fleece inside, smooth face outside; scuba hood slots under helmet uneventfully."
134,"PolarWorks Glacier Hoodie (W)","Apparel",119.70,"Thumb loops hold sleeves when layering; zips colour‑matched to fabric lot."
135,"PolarWorks DriftLite Rain Shell","Apparel",242.00,"3‑layer PU membrane, 20 k/20 k, weight 378 g in men’s medium verified on scale."
136,"OrbitGear Cirrus Track Pants","Apparel",92.90,"Articulated knees, 4‑way nylon, ankle zips for trail spikes."
137,"OrbitGear Nimbus Shade Hoody","Apparel",77.30,"UPF 45 knit, underarm gussets let poles pump without hem ride‑up."
138,"OrbitGear Stratus Run Cap","Apparel",29.50,"Foam brim floats, rear shock‑cord fine‑tunes size when ponytail loosens."
139,"Ridge & Snow Polartec 200 Vest","Apparel",104.20,"Chest pocket cut for radio mic; hem cord one‑hand adjustable with gloves."
140,"Ridge & Snow Softshell Bib","Apparel",223.50,"Double‑weave fabric blocks spindrift; drop‑seat zip trimmed with draft gasket."
141,"Ridge & Snow Warm‑Storm Balaclava","Apparel",38.60,"Windproof front panel, merino blend elsewhere; laser vents align where moustache sits."
142,"Clearwater Outfitters Drift Boardshorts","Apparel",74.90,"Elastic key loop inside pocket—never watch car fob sink again."
143,"Clearwater Outfitters Stream Sun Dress","Apparel",81.30,"Integrated shorts liner avoids gust embarrassment on lakeshore ferry decks."
144,"Granite Peak Field Henley","Apparel",68.40,"Ottoman knit stands off skin slightly, three snaps forged from recycled board edges."
145,"Granite Peak Canvas Shop Jacket","Apparel",162.20,"Ten‑ounce duck canvas, under‑arm eyelets, and cuff that turns once before fray."
146,"Granite Peak Leather Belt 38 mm","Apparel",44.60,"Full‑grain bridle leather, nickel roller buckle, five‑hole spacing."
147,"WildEdge Blaze Safety Tee","Apparel",34.80,"ANSI‑certified orange polyester knit passes chainsaw training courses."
148,"WildEdge Operator Work Trousers","Apparel",109.70,"Cordura knees, phone pocket high on thigh clear of kneeling gravel."
149,"WildEdge Tool Suspenders","Apparel",39.90,"Elastic straps distribute belt weight; rear cross patch leather‑reinforced."
150,"WildEdge Shop Beanie","Apparel",22.40,"Acrylic knit, cuff long enough for earmuffs under if winter site turns brutal."
151,"EverNorth Trek Lite Low GTX","Footwear",179.00,"Waterproof trail runner, 5 mm drop, claims 880 km outsole lifespan."
152,"EverNorth Trek Lite Mid","Footwear",194.00,"Mid‑cut variant, mesh collar vents; gaiter ring sewn at lace #2."
153,"EverNorth Trek Lite Spike Kit","Footwear",49.00,"Twelve stainless spikes thread into Trek Lite outsole for packed‑snow runs."
154,"Canyon Ridge Cedar Hiker LT","Footwear",178.50,"Leather/mesh upper, midsole rock‑plate, weighs 530 g in Euro 42."
155,"Canyon Ridge Cedar Hiker HD","Footwear",214.00,"Full leather, eVent bootie, re‑sole‑able Goodyear welt for long service."
156,"Canyon Ridge Trail Sock ¾","Footwear",18.90,"Polyamide/merino blend knit in Italy; arch band is compression grade 15 mmHg."
157,"PolarWorks IceTrack Boot","Footwear",268.00,"200 g Primaloft, BOA dial, cold‑rated –40 °C under ASTM F2732."
158,"PolarWorks IceTrack Gaiter","Footwear",64.00,"Hook‑and‑loop back entry; Hypalon instep strap adjustable without tools."
159,"PolarWorks Glacier Liner","Footwear",33.50,"Moisture‑wick lining layer extends IceTrack comfort on hut nights."
160,"OrbitGear DriftClog Insulated","Footwear",88.30,"Closed‑cell EVA plus fleece lining—camp slipper weighed at 280 g per pair."
161,"OrbitGear AquaStride Strap Kit","Footwear",12.80,"Replacement straps (pair) with stainless pivots fit 2018–2023 AquaStride."
162,"OrbitGear GlideSox Crew","Footwear",19.90,"Silver ions inhibit stink, terry heel solves Achilles abrasion during 50 km ultras."
163,"Ridge & Snow Merino Ski Sock LW","Footwear",29.70,"Lightweight ski sock, shin padding only where needed so boot buckle closes clean."
164,"Ridge & Snow Merino Ski Sock MW","Footwear",31.40,"Mid‑weight version, full‑foot terry for cold resort days."
165,"Ridge & Snow Boot Dryer Pouch","Footwear",17.80,"Silica gel bags recharge on radiator in 45 min; loop for hanging in locker."
166,"Clearwater Outfitters Creek Walker Boot","Footwear",142.00,"Drain ports at arch, non‑marking sole on fiberglass decks doesn’t squeal."
167,"Clearwater Outfitters Creek Walker Neo Sock","Footwear",34.60,"3 mm neoprene sock extends creek season to early November paddles."
168,"Granite Peak Boulder Moc 2","Footwear",129.90,"New sticky rubber compound; big‑toe patch extends edging life 20 %."
169,"Granite Peak Slab Slipper","Footwear",118.70,"Aggressive downturn for limestone pockets, 4 mm Vibram XS Grip2 rubber."
170,"Granite Peak Boulder Kit Bag","Footwear",39.40,"Vent mesh and tarp pocket keep shoes dry and chalk separate."
171,"WildEdge Timber Boot","Footwear",226.00,"Composite toe, EVA midsole; certified for forestry kickback standards."
172,"WildEdge Timber Laces 180 cm","Footwear",9.20,"Kevlar core resists chain saw strikes, won’t burn when oiled bar drools."
173,"WildEdge Timber Boot Oil","Footwear",14.80,"Pine‑scented blend replenishes Timber Boot after torrential shifts."
174,"TerraNova Trek Pole Glove","Footwear",28.70,"Fingerless, silicone palm pads work well with pole straps on muddy descents."
175,"TerraNova Trek Pole Tip Kit","Footwear",14.40,"Includes carbide, rubber and snow basket tips plus storage tube."
176,"NordReach Fjella Carbon Pole","Winter Sports",174.00,"Carbon fibre, extended choke, lever lock tolerates –30 °C without creep."
177,"NordReach Fjella AviPack 30","Winter Sports",629.00,"Air‑bag backpack (Alpride E1); fan charged by two AA batteries or USB."
178,"NordReach Fjella AviPack Cylinder","Winter Sports",119.00,"Spare super‑capacitor module swaps out in under three minutes."
179,"SummitForge RiftSplit 165","Winter Sports",699.00,"Longer length for riders 75–90 kg; same poplar/bamboo core as 159."
180,"SummitForge Glide Crampon 110 mm","Winter Sports",82.40,"Wider blade covers 165 board waist; 7075 aluminium anodised black."
181,"SummitForge Snow Saw 55","Winter Sports",74.60,"Ti‑nitride teeth slice icy blocks; 0–90° holes for shear testing included."
182,"OrbitGear Mirage Polar Lens","Winter Sports",67.20,"Silver‑mirror finish, 8 % VLT saves retina on white glacier traverse."
183,"OrbitGear Mirage Strap Kit","Winter Sports",19.70,"Elastic strap and outriggers fit 2021–present frames; silicone beads keep strap at helmet mid‑line."
184,"OrbitGear Avalanche Beacon Holster","Winter Sports",23.90,"Stretch polyester, tether anchors to the Aero Beacon series."
185,"Ridge & Snow Glacier Mitt Liner","Winter Sports",34.40,"Merino blend liner extends comfort zone to –28 °C static."
186,"Ridge & Snow Ice Shield Grip Wax","Winter Sports",9.90,"Beef‑tallow formula stops snow clumping to climbing skins at –5 °C."
187,"Ridge & Snow Boot Warmer Charger","Winter Sports",32.80,"USB‑C cable, 2 A wall plug, LED indicates full in 90 min."
188,"Clearwater Outfitters Ice Shovel","Winter Sports",82.90,"Collapsible D‑handle, blade fits rescue sled companion pocket."
189,"Clearwater Outfitters Ice Probe 240","Winter Sports",94.60,"240 cm carbon, high‑contrast depth marks, Kevlar cord quick‑lock."
190,"Clearwater Outfitters Ice Jacket Kid","Winter Sports",184.90,"Youth XS–L, same membrane as adult with removable powder skirt."
191,"Granite Peak Apex Helmet MIPS","Winter Sports",152.70,"Adds MIPS cradle and Recco reflector to Apex shell; certified EN 1077‑A."
192,"Granite Peak Apex Audio Chip","Winter Sports",42.00,"30 mm drivers slot into helmet ear pads—left cord has in‑line mic."
193,"Horizon Trail Frost Twin Tip 139","Winter Sports",419.00,"Park ski, beech/poplar core, thick edges for rail dings."
194,"Horizon Trail Frost Pole Jr","Winter Sports",42.90,"Aluminium, 16 mm shaft, adjustable strap sized for glove‑handed kids."
195,"Horizon Trail Frost Instructor Vest","Winter Sports",74.80,"Hi‑vis orange with reflective trim; big zipper pulls for mitten use."
196,"Alpine Canvas Co. Patrol Pack 50","Winter Sports",298.00,"Top‑loader, wet‑room pocket for skins, front panel fits shovel blade flat."
197,"Alpine Canvas Co. Patrol Ski Strap 50 cm","Winter Sports",9.90,"Natural rubber, printed logo, buckle made from recycled ski edges."
198,"Alpine Canvas Co. Patrol Blade Cover","Winter Sports",18.40,"Canvas slide with hook‑loop end protects avalanche saw teeth."
199,"Pioneer Works Aero Beacon Harness","Winter Sports",39.90,"Wide elastic shoulder strap prevents radio and beacon from tangling."
200,"Pioneer Works Aero Probe 280","Winter Sports",129.00,"Carbon 280 cm length, tension sleeve replaced with Dyneema cord for zero slop."
201,"SkyLevel Alta 55 Backpack","Camping Gear",298.00,"Carbon stays channel thirty kilos onto your pelvis while back panel vents like slatted shutters."
202,"SkyLevel Alta Rain Cover M","Camping Gear",29.50,"Sil‑poly sleeve snaps over the 55 in ten seconds when cloud boils over the ridge."
203,"SkyLevel Trail Pouch Set","Camping Gear",24.80,"Three colour‑coded zip cubes tame stove bits, tape rolls and the lone clean sock."
204,"SummitForge EmberBox Stove","Camping Gear",64.40,"Titanium panels slot into a cube that feeds on pine cones yet supports a 2‑L pot."
205,"SummitForge BTU Gauge","Camping Gear",18.60,"Clip‑on thermocouple counts burner output so fuel math becomes fact not hope."
206,"SummitForge Fiber Fuel Blocks (4)","Camping Gear",9.40,"Compressed wood fibre pucks ignite with flint, no petro smell in the omelette."
207,"TerraNova Compact Trek Pole 600","Camping Gear",92.80,"Five‑section carbon pole collapses to 34 cm; speed lock holds firm even with frozen knuckles."
208,"TerraNova Mud Basket 75 mm (pair)","Camping Gear",11.80,"Wide discs keep poles afloat in peat bogs; flexible rim sheds clag instead of snowballing."
209,"TerraNova Pole Camera Mount","Camping Gear",21.70,"Aluminium insert turns trekking pole into monopod for summit selfie without stick vibe."
210,"Granite Peak Camp Cot XL","Camping Gear",184.00,"Aircraft‑tube legs lift you 15 cm off rocky tent floor; 2‑minute tension setup, no profanity."
211,"Granite Peak AirSheet Lite","Camping Gear",54.60,"Pertex quilted top spans the cot so quilt doesn’t slide when midnight roll happens."
212,"Granite Peak Cot Organizer","Camping Gear",22.10,"Side saddle pockets store headlamp, paperback and the snack you promised not to crush."
213,"Clearwater Outfitters Stream Pack 25","Camping Gear",134.90,"Roll‑top drybag backpack takes swim exits in stride; lumbar pad drains via laser vents."
214,"Clearwater Outfitters Tidal Duffel 60","Camping Gear",162.20,"RF‑welded seams guarantee gear stays salt‑free even on sleet‑lashed ferry decks."
215,"Clearwater Outfitters Anchor Strap Kit","Camping Gear",14.30,"Two cam straps lash the duffel to floatplane strut—no lost baggage to the bay."
216,"WildEdge Timber Saw QS","Camping Gear",46.00,"Quick‑set teeth rip 15 cm log rounds for night two without sharpening drama."
217,"WildEdge Log Lifter Hook","Camping Gear",27.80,"Steel pick flips heavy round onto splitting block, sparing fingertips and spine."
